Station,Lat,Lon,Elevation,Name,Owner,Program,Ocean
13001,12.0,-23.0,0.0,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
13002,21.0,-23.0,0.0,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
13008,15.0,-38.0,0.0,Reggae,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
13009,8.0,-38.0,0.0,Lambada,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
14048,-8.0,65.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
14049,-12.0,65.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
15001,-10.0,-10.0,0.0,Gavotte,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
15002,0.0,-10.0,0.0,Java,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
15006,-6.0,-10.0,0.0,Valse,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
22101,37.23,126.02,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22102,34.8,125.77,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22103,34.0,127.5,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22104,34.77,128.9,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22105,37.53,130.0,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22106,36.35,129.78,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22107,33.08,126.03,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
22108,36.25,125.75,,,Korean Meteorological Administration,International Partners,Pacific Ocean Asia
23001,0.0,81.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23003,-2.0,81.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23012,8.0,67.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23013,4.0,67.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23014,2.0,67.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23015,0.0,67.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23016,-2.0,67.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
23019,-4.0,65.0,0.0,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,Indian Ocean
31001,0.0,-35.0,0.0,Samba,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31002,4.0,-38.0,0.0,Frevo,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31003,-8.0,-30.0,0.0,Para?ba,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31004,-14.0,-32.0,0.0,Salvador,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31005,-19.0,-34.0,0.0,Espirito Santo,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31006,4.0,-23.0,0.0,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
31007,0.0,-23.0,0.0,Jazz,Prediction and Research Moored Array in the Atlantic,International Partners,Atlantic Ocean
41001,34.703,-72.242,0.0,EAST HATTERAS - 150 NM East of Cape Hatteras,NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41008,31.4,-80.866,0.0,"GRAYS REEF - 40 NM Southeast of Savannah, GA",NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41009,28.508,-80.185,0.0,"CANAVERAL 20 NM East of Cape Canaveral, FL",NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41010,28.878,-78.467,0.0,CANAVERAL EAST - 120NM East of Cape Canaveral,NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41013,33.441,-77.764,0.0,"Frying Pan Shoals, NC",NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41024,33.837,-78.477,0.0,"Sunset Nearshore, NC (SUN2)",CORMP,IOOS Partners,Atlantic Ocean
41025,35.01,-75.454,0.0,"Diamond Shoals, NC",NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41029,32.803,-79.624,0.0,"Capers Nearshore, SC (CAP2)",CORMP,IOOS Partners,Atlantic Ocean
41033,32.279,-80.406,0.0,"Fripp Nearshore, SC (FRP2)",CORMP,IOOS Partners,Atlantic Ocean
41037,33.988,-77.362,0.0,"Wrightsville Beach Offshore, NC (ILM3)",CORMP,IOOS Partners,Atlantic Ocean
41038,34.141,-77.715,0.0,"Wrightsville Beach Nearshore, NC (ILM2)",CORMP,IOOS Partners,Atlantic Ocean
41040,14.536,-53.136,0.0,NORTH EQUATORIAL ONE- 470 NM East of Martinique,NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41044,21.582,-58.63,0.0,NE ST MARTIN - 330 NM NE St Martin Is,NDBC,NDBC Meteorological/Ocean,Atlantic Ocean
41052,18.249,-64.763,0.0,"South of St. John, VI",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,Atlantic Ocean
41053,18.474,-66.099,0.0,"San Juan, PR",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,Atlantic Ocean
41056,18.261,-65.464,0.0,"Vieques Island, PR",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,Atlantic Ocean
41065,32.802,-79.619,0.0,Capers Nearshore Waves (CAP2WAVE),CORMP,IOOS Partners,Atlantic Ocean
41066,32.536,-79.656,0.0,CHR60,CORMP,IOOS Partners,Atlantic Ocean
41067,32.276,-80.406,0.0,FRP2WAVE,CORMP,IOOS Partners,Atlantic Ocean
41069,29.289,-80.803,0.0,"Ponce de Leon Inlet, FL (PNC)",CORMP,IOOS Partners,Atlantic Ocean
41070,29.289,-80.803,0.0,Ponce de Leon Inlet Waves (PNCWAVE),CORMP,IOOS Partners,Atlantic Ocean
41076,32.536,-79.659,0.0,CHR60WAVE,CORMP,IOOS Partners,Atlantic Ocean
41082,35.95,-75.125,,OOI Pioneer - Mid-Atlantic Bight Central Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,Atlantic Ocean
41083,35.725,-74.853,0.0,OOI Mid-Atlantic Bright Southern Surface Mooring,NSF Ocean Observatories Initiative,IOOS Partners,Atlantic Ocean
41108,33.721,-78.016,0.0,"Wilmington Harbor, NC - (200)",SCRIPPS,IOOS Partners,Atlantic Ocean
41110,34.142,-77.715,0.0,"Masonboro Inlet, ILM2, NC (150)",CORMP,IOOS Partners,Atlantic Ocean
41112,30.709,-81.292,0.0,"Offshore Fernandina Beach, FL (132)",SCRIPPS,IOOS Partners,Atlantic Ocean
41113,28.4,-80.533,0.0,"Cape Canaveral Nearshore, FL (143)",SCRIPPS,IOOS Partners,Atlantic Ocean
41114,27.552,-80.216,0.0,"Fort Pierce, FL (134)",SCRIPPS,IOOS Partners,Atlantic Ocean
41115,18.376,-67.28,0.0,"Rincon, Puerto Rico (181)",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,Atlantic Ocean
41117,29.999,-81.079,0.0,"St. Augustine, FL (194)",U.S. Army Corps of Engineers,IOOS Partners,Atlantic Ocean
